区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房,价格（万/m2）
西城,3,1,72.4,高,1,1,10.39
石景山,2,1,58.6,高,1,0,4.41
丰台,2,1,58,高,0,0,4.91
东城,2,1,68.8,中,1,1,10.46
东城,1,0,44.7,高,1,1,9.53
东城,2,2,89.4,高,0,0,7.05
石景山,2,1,86,高,0,0,4.59
丰台,3,1,102,中,0,0,4.78
海淀,2,1,114.2,低,1,0,7.37
东城,1,1,58.8,高,1,1,7
西城,2,1,55.8,高,1,1,9.37
朝阳,2,1,57.1,高,1,0,4.98
东城,2,1,50.4,高,1,1,9.27
东城,2,1,49.5,低,1,0,8.49
丰台,3,1,105,高,1,0,4.2
西城,4,1,91.5,高,1,0,7.95
朝阳,3,1,144.1,高,1,0,3.9
海淀,3,1,79.6,低,1,0,5.78
朝阳,2,2,56.1,低,1,0,5.25
西城,1,1,40.4,中,1,1,10.43
石景山,2,1,49.5,中,1,0,3.87
丰台,2,2,97.1,高,0,0,4.16
石景山,2,1,92.2,中,0,0,4.42
丰台,3,2,177.1,低,1,0,5.55
海淀,2,1,51.8,高,1,0,6.05
丰台,3,1,116.9,中,1,0,4.01
丰台,1,1,58,中,1,0,3.8
丰台,1,1,65.4,中,0,0,3.68
西城,2,1,50.9,中,1,0,9.63
西城,3,1,92.7,中,1,0,8.21
朝阳,3,1,91,高,0,1,6.53
朝阳,2,1,56.8,低,1,0,6.27
丰台,2,1,61,中,1,0,4.04
东城,1,1,63.4,低,1,1,8.54
石景山,3,1,91.3,高,1,0,4.92
东城,2,1,61.2,中,1,1,7.45
石景山,1,1,72.8,高,0,0,3.77
石景山,2,1,43.9,中,0,0,4.76
西城,3,2,128,低,1,0,7.08
东城,2,1,90.7,中,1,1,7.31
丰台,2,1,68.2,低,1,0,5.53
西城,1,1,64.2,中,1,0,6.59
西城,1,2,148.8,中,1,1,7.43
海淀,4,1,126.2,中,0,0,5.15
东城,1,1,49.9,低,1,0,6.37
朝阳,3,2,178.4,高,1,0,6.43
东城,2,1,80.2,高,1,1,9.58
朝阳,2,1,88.3,高,1,0,6.26
东城,3,1,80.1,高,1,1,7.35
丰台,3,2,117.8,中,1,0,5.74
西城,2,1,61.5,高,1,1,9.36
西城,1,1,39.7,中,1,1,12.36
东城,2,1,61.1,高,1,1,10.1
石景山,2,1,72.8,低,0,0,3.99
西城,2,1,50.6,中,1,1,8.21
海淀,2,1,60.9,中,1,0,8.37
海淀,2,1,59,高,1,1,8.74
海淀,2,1,60.9,低,1,1,9.95
西城,3,1,68.1,低,1,1,8.64
东城,2,1,120.7,中,1,1,7.75
东城,2,1,52.9,低,1,0,8.92
东城,1,1,34.7,低,1,0,8.35
西城,2,1,59.6,高,1,1,10.29
西城,1,0,40.4,低,1,0,8.9
朝阳,5,2,113.7,中,1,1,6.37
西城,1,1,50.7,高,1,1,9.6
石景山,2,1,92.3,低,0,0,5.2
西城,3,2,156.5,中,0,0,6.71
西城,4,2,219.6,中,1,1,6.52
石景山,1,1,44.5,低,1,0,5.06
东城,2,1,62.5,低,1,0,7.35
东城,1,1,62.5,低,1,1,8.66
东城,1,1,63.4,高,1,1,7.48
东城,2,1,60.5,中,0,0,4.31
石景山,2,1,66.1,低,1,0,4.66
丰台,5,2,237.2,低,1,0,5.2
海淀,3,1,130.1,低,1,1,8.56
东城,2,1,97,高,1,1,9.74
朝阳,3,2,131.7,高,1,0,6.55
朝阳,2,2,87.1,高,1,1,8.27
西城,2,1,64.4,低,1,1,12.59
东城,3,2,127,低,1,1,8.25
石景山,2,1,70,低,1,0,4.98
海淀,2,1,67.2,中,1,1,10.05
东城,1,0,60.4,高,1,1,8.18
东城,2,1,65.6,中,1,1,7.18
西城,2,1,60.9,中,1,0,10.18
海淀,3,1,78.7,低,1,1,9.73
朝阳,4,2,204.7,高,1,0,6.53
海淀,1,1,66.6,高,0,0,5.23
石景山,2,1,78.5,高,1,0,3.8
西城,2,1,75,高,0,1,9.23
东城,2,1,64.5,高,1,0,5.7
石景山,1,1,67.8,低,0,0,4.1
丰台,2,1,60,低,1,0,3.82
丰台,2,1,84.7,中,1,0,4.33
东城,2,1,69.9,中,1,1,9.15
丰台,1,1,50.4,中,1,1,6.52
西城,3,1,61.1,低,1,1,10.55
海淀,3,2,121.1,低,0,1,6.7
西城,1,0,44,高,1,0,6.67
海淀,2,1,61.3,高,1,1,8.19
石景山,2,1,50.8,中,1,0,4.66
东城,3,2,132.9,低,1,1,7.14
石景山,2,1,83.8,低,1,0,4.75
朝阳,3,1,93,低,1,1,5.57
西城,2,1,57.6,高,1,1,10.76
朝阳,3,1,89.7,低,0,0,3.91
东城,2,1,72.2,高,1,0,7.27
西城,2,1,61,中,1,1,9.08
丰台,3,1,105.7,中,1,0,5.08
东城,3,2,209.1,高,1,0,7.25
朝阳,2,1,102.6,低,1,0,5.23
海淀,1,2,70.4,高,0,1,6.85
丰台,3,2,148.9,高,0,0,3.93
海淀,2,1,61.8,高,1,1,8.78
朝阳,1,0,48.5,高,1,0,5.68
西城,3,1,84.8,低,1,0,8.46
石景山,3,2,149.1,中,1,0,5.67
石景山,2,1,86.2,中,0,0,4.7
丰台,2,1,91.7,低,1,0,6
西城,3,1,77.3,低,1,0,9.3
朝阳,3,2,124,低,1,0,5.68
丰台,4,2,257.3,高,1,0,5.56
西城,2,1,75.3,高,1,1,7.96
西城,2,1,101.7,中,1,1,9.56
东城,1,1,45.2,中,1,1,7.47
朝阳,1,1,60.1,中,1,0,6.23
丰台,2,1,70.9,低,1,0,3.91
朝阳,3,2,162.4,高,0,0,4.35
西城,2,1,60.4,中,1,1,11.21
朝阳,1,1,48.8,低,1,0,5.48
丰台,3,1,105.6,中,1,0,3.77
东城,3,1,90.8,中,1,1,8.32
西城,4,1,129.2,高,1,0,6.96
海淀,5,2,238.3,中,1,0,5.46
丰台,3,2,160.9,低,1,0,4.57
海淀,1,1,48.3,中,0,1,7.96
石景山,2,1,60.4,高,0,0,3.24
东城,2,1,77.1,中,1,1,9.53
东城,1,1,48.9,低,1,1,8.45
海淀,2,1,63.2,低,1,1,7.52
东城,1,1,41.6,中,1,0,6.6
东城,3,1,86.2,高,1,1,9.7
石景山,1,1,58,高,1,0,5.08
海淀,2,1,44.4,高,1,1,8.65
朝阳,1,1,71.5,低,1,0,5.36
西城,2,1,59.5,高,1,1,9.64
朝阳,3,2,127,高,1,1,5.91
丰台,2,2,102.6,中,1,0,4.42
东城,3,1,109.6,低,1,0,7.32
海淀,2,1,66.7,低,1,0,5.48
石景山,3,1,85.8,中,1,0,4.36
丰台,1,1,65.4,中,1,0,4.66
石景山,2,1,88.5,高,1,0,4.16
丰台,2,2,86.5,中,1,0,4.82
西城,2,1,79.2,中,1,1,10.7
朝阳,2,1,80,高,0,0,5.17
西城,1,1,71.4,中,1,1,8.49
西城,1,1,36.4,中,1,0,8.93
朝阳,2,2,107.5,低,1,0,5.9
海淀,2,2,82.9,低,1,1,8.65
海淀,1,1,44.4,低,1,1,7.06
丰台,1,1,67.8,低,1,0,5.03
海淀,2,1,62.3,中,1,0,7.49
西城,3,1,108.2,高,1,0,8.89
石景山,2,1,87.4,中,1,0,4.32
丰台,1,1,69.9,高,0,0,4.74
朝阳,2,1,86,低,1,0,6.44
东城,1,1,35.5,中,0,0,5.69
朝阳,3,2,105.8,低,0,0,5.17
西城,3,1,84.2,中,1,0,8.77
西城,2,1,59.7,中,1,0,9.02
丰台,1,1,38.9,高,1,0,3.94
西城,1,1,46.8,低,1,1,9.55
朝阳,2,1,99.7,低,1,0,5.94
丰台,3,1,111,高,0,0,3.85
丰台,2,1,88.3,中,1,0,3.92
石景山,1,1,47.1,高,1,0,4.31
朝阳,2,1,80.8,低,1,0,4.9
丰台,2,1,92.1,高,1,0,5.22
西城,2,1,56.7,高,1,0,8.59
海淀,2,1,97.2,高,0,1,7.31
朝阳,2,2,103.5,高,0,1,5.4
西城,2,1,75.3,中,1,0,7.9
石景山,2,1,72.4,高,0,0,3.67
西城,2,1,75.3,高,0,1,7.86
海淀,4,1,115.7,高,1,1,6.86
东城,1,1,57.3,低,1,1,6.94
东城,2,1,81.3,中,1,1,7.31
朝阳,3,2,123.4,低,0,0,4.88
东城,1,1,71.8,中,1,0,5.69
东城,3,1,98.6,高,1,0,7.7
朝阳,1,0,37.5,高,1,0,5.46
西城,3,1,64.8,高,0,1,10.08
东城,2,1,73.9,中,0,0,5.33
海淀,4,3,264.9,低,0,0,6.62
海淀,3,2,142,低,1,0,6.77
海淀,3,2,145.9,低,1,1,8.34
石景山,2,1,78.9,中,0,0,3.12
丰台,3,1,99.1,低,1,0,5.31
海淀,2,1,95.1,高,1,0,5.17
西城,2,1,59.5,低,1,1,8.61
朝阳,1,1,65.4,低,1,1,4.9
海淀,3,2,142.7,中,0,0,6.43
海淀,3,2,138.9,高,1,0,6.35
朝阳,2,1,90.4,低,1,1,6.55
丰台,2,1,93.7,低,0,0,3.98
朝阳,2,1,73.6,低,1,0,5.21
西城,2,1,52.5,高,1,1,9.59
朝阳,2,2,96.2,高,1,0,5.42
东城,4,2,266.9,低,1,0,6.43
东城,2,1,66.7,低,1,0,5.9
海淀,1,1,71.7,中,1,0,6.09
石景山,3,2,88.2,中,1,0,5.7
西城,4,2,189.3,高,1,0,8.03
丰台,2,2,94.1,低,0,0,4.61
东城,2,1,175,低,1,0,6.66
东城,1,1,34.3,低,1,1,10.97
东城,2,1,78,中,1,1,7.04
西城,3,1,108.7,高,1,0,8.51
西城,1,1,55.1,中,1,0,9.02
海淀,3,1,68.3,低,0,1,8.57
东城,3,1,79.1,高,1,0,6.88
朝阳,1,0,55.1,高,1,0,4.8
东城,2,1,54.8,低,1,1,9.99
石景山,2,1,50.8,高,1,0,3.93
朝阳,3,2,138.7,低,1,0,5.64
石景山,4,2,230.2,高,0,0,5.97
东城,5,2,294.7,中,1,0,6.42
西城,2,1,61.5,中,1,1,11.27
丰台,4,2,128.9,高,1,0,4.34
西城,1,1,65.2,中,1,0,7.41
丰台,2,1,83.2,高,1,0,3.9
丰台,3,2,114.2,中,0,0,5.44
朝阳,2,1,102.8,低,1,0,4.64
丰台,3,2,140.9,中,1,0,5.77
丰台,3,2,147.8,高,1,0,5.75
海淀,2,1,55.2,高,1,0,8.11
石景山,2,1,89.4,高,1,0,4.95
西城,3,2,116.9,低,0,0,5.6
海淀,4,1,120.8,高,1,1,7.9
丰台,1,0,47.8,低,1,0,5.29
海淀,2,1,59.9,低,1,1,9.49
丰台,2,1,78.1,中,1,0,4.34
石景山,1,1,54,中,1,0,3.75
朝阳,3,2,187.5,低,1,0,5.48
西城,2,1,73.8,高,0,0,8.07
丰台,2,2,105.8,高,1,0,4.6
石景山,2,1,63.5,低,1,0,3.71
丰台,1,1,61.5,中,0,0,3.62
朝阳,3,1,107.8,低,1,1,5.8
丰台,2,1,60.6,高,0,0,4.31
丰台,1,1,47.6,中,1,0,4.24
丰台,2,1,75.5,高,1,0,5.45
海淀,2,1,77.5,低,1,1,6.89
西城,2,1,101,高,1,0,8.07
朝阳,2,1,110.4,高,1,0,6.1
西城,3,1,89.1,低,1,1,9.08
石景山,2,2,101.1,低,0,0,4.81
丰台,3,1,110.6,中,1,0,3.79
海淀,4,2,224.3,高,1,1,7.75
海淀,3,1,64.9,低,1,1,8.42
丰台,3,2,146.4,中,1,0,4.97
朝阳,1,1,41.4,高,1,0,5.57
东城,1,0,36.5,低,0,0,4.72
西城,2,1,63.2,高,1,1,10.21
丰台,1,1,70.8,高,1,0,4.48
丰台,2,2,99.5,中,1,0,5.49
石景山,2,1,72.7,高,1,0,3.51
石景山,2,1,71.6,中,0,0,4.7
朝阳,2,1,105.7,中,1,0,5.59
丰台,2,2,96.6,低,1,0,4.68
石景山,2,2,101.5,低,1,0,4.54
朝阳,1,1,64.3,低,1,0,4.79
西城,3,2,126,高,1,0,6.2
东城,1,1,45.9,高,1,1,9.85
朝阳,2,2,100.3,高,1,1,6.28
海淀,2,1,95.9,低,1,1,8.49
海淀,2,1,69.2,高,0,0,5.24
石景山,2,1,61.9,高,1,0,3.54
丰台,2,2,122.7,低,1,0,4.29
海淀,2,1,56.9,低,1,1,9.23
东城,3,1,67.3,高,1,0,6.26
丰台,2,2,115.5,低,0,0,4.83
朝阳,1,2,57.6,低,1,0,5.18
东城,2,1,61.5,高,1,1,8.15
海淀,1,1,69.5,高,0,0,4.96
丰台,3,2,157.6,低,1,0,4.94
丰台,1,1,54.6,中,1,0,4.68
石景山,3,1,68.4,高,0,0,3.65
朝阳,3,1,140.9,中,1,0,5.7
丰台,2,1,57,高,1,0,3.9
丰台,2,1,52.3,低,0,0,4.41
朝阳,2,1,55.8,低,1,1,5.87
海淀,2,1,67.2,高,1,0,7.63
东城,1,1,40.8,中,1,0,6.5
石景山,2,1,50.4,低,0,0,3.97
朝阳,3,1,69.4,中,1,0,6.42
西城,1,1,41.3,低,1,1,10.93
东城,1,1,98,中,1,0,7.17
东城,3,2,167.5,高,1,1,7.43
石景山,2,2,102,高,0,0,4.33
西城,2,1,78.5,低,1,0,9.88
朝阳,2,1,69.3,低,1,0,5.69
丰台,2,1,95.4,中,1,0,4.79
海淀,1,1,72.6,高,1,0,6.89
海淀,2,1,101.6,中,1,0,5.82
丰台,3,1,116.2,低,1,0,4.41
海淀,1,1,60,中,1,0,7.03
东城,1,0,63.9,高,1,1,9.19
丰台,2,1,91.5,中,1,0,4.1
东城,1,1,81.6,中,1,1,7.48
东城,2,1,48.4,中,1,0,6.83
丰台,3,2,125.8,中,1,0,4.55
西城,2,1,59.3,中,1,1,10.26
西城,2,1,73.2,中,1,1,9.78
石景山,2,1,98.2,高,1,0,3.88
西城,3,1,80.8,高,1,1,8.08
海淀,4,3,238.1,中,0,0,7.93
丰台,2,2,101.2,中,1,0,4.02
朝阳,3,2,177.5,中,1,0,6.97
海淀,3,1,80.1,高,1,1,6.65
海淀,2,1,56.3,中,1,1,8.83
东城,3,1,91.4,低,1,1,9.04
石景山,1,1,56,低,1,0,3.81
东城,3,2,126.3,低,1,1,7.33
朝阳,1,1,79.6,低,1,0,7.18
西城,2,1,51.3,高,1,0,11.12
石景山,2,1,70.4,低,1,0,4.58
丰台,1,1,55.1,中,0,0,3.69
朝阳,1,0,49.4,低,1,0,6.2
西城,3,2,191.9,低,1,1,8.86
海淀,3,2,136.1,高,1,1,8.56
西城,1,0,79.4,中,1,1,10.58
丰台,1,1,68.6,低,1,0,4.92
朝阳,3,2,128.4,高,1,1,5.8
丰台,3,2,150,中,1,0,4.93
东城,1,1,60.5,低,1,0,5.76
朝阳,3,2,126.3,中,1,0,4.86
丰台,2,2,105.8,低,1,0,5.9
朝阳,2,1,68.7,高,1,0,6.33
海淀,3,2,229.1,低,1,1,7.14
东城,4,2,266.1,低,1,1,5.9
东城,2,2,124.9,高,1,1,6.44
朝阳,2,1,56.3,高,1,0,4.96
西城,1,1,61.5,高,1,0,7.67
西城,1,1,37.4,中,1,0,7.88
丰台,2,1,133.2,低,0,0,4.4
丰台,2,1,55.3,低,0,0,5.27
海淀,5,2,279.5,高,1,1,6.32
丰台,1,0,41.3,中,1,0,4.99
朝阳,1,1,42.5,低,1,0,5.2
石景山,2,2,84.5,高,1,0,5.7
石景山,2,1,50.7,高,1,0,4.82
石景山,4,1,149.9,中,0,0,4.95
东城,1,1,46,高,1,0,6.76
丰台,2,1,57.6,低,0,0,4.86
石景山,3,1,142.6,高,1,0,5.04
西城,1,1,43.3,高,1,1,9.07
朝阳,2,1,89.5,中,1,1,6.59
东城,2,1,85.2,中,1,1,6.87
石景山,3,2,145.4,高,0,0,5.88
东城,1,1,72.3,中,1,1,9.53
石景山,3,1,87,高,0,0,3.64
朝阳,3,2,175.4,低,1,0,6.89
西城,2,2,105.6,低,1,0,9.38
东城,3,1,86.5,高,1,1,9.01
海淀,1,1,57.8,中,1,0,5.9
西城,3,1,101.7,高,1,1,10.34
丰台,2,1,75.1,高,1,0,4.98
丰台,3,1,81.2,低,1,0,5.25
丰台,1,1,45.9,高,1,0,4.55
东城,1,1,56.3,中,1,1,10.13
东城,2,1,88.8,中,1,1,8.04
东城,5,1,162.2,低,1,1,7.3
海淀,4,2,165.4,中,1,1,7.67
西城,1,1,44.9,中,0,1,9.63
丰台,1,1,43.3,低,1,0,4.42
东城,4,2,181.1,中,1,0,7.61
石景山,1,1,79.1,低,0,0,4.92
石景山,3,1,62.7,中,0,0,4.38
西城,2,1,65.8,低,1,1,9.09
石景山,1,1,59.5,低,1,0,4.6
海淀,3,2,165.9,高,0,0,7.63
丰台,1,0,50.6,低,1,0,4.75
丰台,2,1,97.6,低,0,0,3.54
石景山,3,2,148.1,中,1,0,5.44
东城,3,1,176.4,中,1,0,6.09
朝阳,2,2,105.3,低,1,1,4.95
西城,2,1,88.2,中,1,0,8.73
丰台,2,1,75.9,高,1,0,3.99
朝阳,2,1,90.1,中,0,0,4.08
东城,2,1,71,低,1,1,7.88
丰台,2,1,57.8,中,1,0,4.32
石景山,2,0,50.8,中,1,0,3.38
西城,1,1,51.5,中,1,1,10.54
海淀,2,2,74,中,1,1,10.04
朝阳,2,1,101.5,低,0,0,3.77
西城,2,1,59.4,高,1,1,10.99
石景山,2,1,51.5,中,1,0,4.32
东城,1,0,68.2,低,1,0,7.16
石景山,2,2,53.9,低,0,0,4.99
石景山,2,1,70.6,高,0,0,3.25
丰台,2,1,90.3,低,1,0,5.47
海淀,2,1,84.3,低,1,0,6.8
西城,1,0,60.8,低,1,0,6.98
海淀,2,1,65.3,低,0,0,5.35
海淀,3,2,156.7,中,1,1,7.49
西城,3,2,146.8,低,1,1,8.21
海淀,3,2,118.4,中,1,1,7.14
海淀,3,2,168.2,中,0,0,7.9
朝阳,1,2,81.9,高,1,0,6.78
西城,4,2,145.5,低,1,0,7.67
东城,2,0,49.4,高,1,1,8.7
海淀,3,1,150,低,1,1,9.23
朝阳,2,1,94,低,1,0,5.54
丰台,4,2,198.7,低,1,0,5.9
石景山,2,1,60.7,高,0,0,4.23
西城,2,1,61.9,高,1,1,7.51
西城,2,0,68.6,高,1,0,7.82
西城,1,1,40.3,高,1,0,10.02
东城,2,1,60.9,低,1,0,8.32
西城,4,2,278.5,高,1,1,9.06
丰台,1,0,36.1,中,1,0,5.06
丰台,2,1,85,低,1,0,4.51
东城,2,1,54.4,中,1,0,7.45
丰台,1,1,67.2,中,1,0,5.18
朝阳,2,1,61.3,高,1,0,4.79
东城,2,1,73.7,中,1,1,10.06
东城,2,1,70.8,高,1,0,6.42
西城,2,1,65.7,高,1,1,10.67
朝阳,2,1,103.8,低,1,1,6.14
海淀,2,1,58.4,高,1,1,7.45
海淀,3,1,114.1,高,1,0,7.72
西城,1,1,52.1,低,1,1,10.19
西城,1,1,35.6,中,1,0,9.33
朝阳,3,2,145,中,1,0,6.71
丰台,3,1,100.9,中,0,0,3.37
朝阳,2,2,107.2,中,1,1,7.35
海淀,3,2,138.1,高,1,1,8.24
石景山,2,1,63.8,高,1,0,3.55
石景山,2,1,94.5,低,1,0,5.38
石景山,2,1,63.4,低,1,0,4.28
朝阳,2,2,101.2,中,1,1,6.32
西城,4,2,241.1,高,1,1,9.37
东城,4,2,196.9,中,1,1,9.43
丰台,2,1,60,中,1,0,4.02
东城,5,2,264.6,中,1,0,6.06
海淀,2,1,60.6,高,1,0,6.13
朝阳,2,0,57.8,低,1,0,5.1
东城,2,1,172.6,低,1,0,7.66
东城,3,1,61.6,高,1,0,7.85
东城,3,1,97,中,1,1,8.03
朝阳,4,2,186.7,中,1,1,6.2
海淀,2,1,99.8,中,1,1,6.44
海淀,3,1,77.8,中,1,1,10.43
西城,2,1,58,高,1,0,9.35
海淀,3,2,115,低,1,0,6.52
朝阳,2,1,76.9,中,1,0,5.48
东城,2,1,91,高,0,0,6.12
朝阳,2,2,98.3,中,1,0,4.78
朝阳,4,2,250.4,低,1,0,5.82
石景山,2,1,99.3,低,1,0,4.21
