区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房
海淀,2,0,55.4,高,1,1
石景山,2,1,83.6,低,0,0
丰台,3,1,136.2,低,1,0
海淀,2,1,74.5,中,0,0
朝阳,1,1,57.4,高,1,0
海淀,2,1,57,低,1,1
西城,2,1,58.4,高,1,1
东城,3,1,89.3,低,1,0
石景山,2,2,89.9,中,1,0
海淀,3,2,182.9,中,1,0
丰台,1,1,69.7,中,1,0
西城,1,0,32.9,低,1,0
朝阳,3,1,76.4,高,1,0
西城,4,1,97,中,1,1
丰台,2,1,60.5,中,0,0
朝阳,1,0,47,低,1,0
海淀,3,1,81.6,高,0,0
海淀,2,1,61.3,中,1,1
东城,2,1,69.2,高,1,0
石景山,2,2,92.2,高,0,0
东城,2,1,60.6,中,1,1
海淀,3,2,141.3,高,1,0
海淀,2,1,66.9,中,1,1
石景山,2,2,107.7,低,1,0
海淀,2,1,53.9,高,1,0
朝阳,2,1,88,高,1,0
西城,1,1,58.7,高,0,0
东城,2,1,67.8,高,1,0
朝阳,2,1,76.6,高,1,0
西城,2,1,144.1,中,1,1
丰台,3,2,131.9,低,0,0
朝阳,2,2,109.2,中,0,1
西城,2,1,72.8,中,1,1
石景山,1,0,49.5,高,1,0
海淀,4,3,181.2,高,0,0
西城,1,1,47.6,高,0,0
朝阳,4,2,217.8,低,1,1
朝阳,2,1,105.4,高,1,1
海淀,3,1,139.8,低,1,1
石景山,3,1,89.7,低,0,0
丰台,3,2,169.5,低,0,0
西城,4,1,73.1,低,1,0
海淀,2,1,71.8,中,1,1
石景山,1,1,48,高,1,0
东城,2,1,115,中,1,1
石景山,3,1,89.1,低,0,0
朝阳,2,2,121.9,中,1,0
朝阳,2,1,59.1,高,1,0
西城,2,1,62.4,中,1,1
西城,5,1,256.8,低,1,1
海淀,4,2,177.9,低,0,0
东城,3,1,100.3,高,1,1
丰台,2,1,87.2,低,0,0
朝阳,1,1,38.3,高,1,0
朝阳,2,2,123.3,低,1,0
朝阳,3,2,136.3,中,1,0
丰台,4,2,210.7,高,1,0
丰台,2,2,114,高,1,0
石景山,2,0,57.2,低,1,0
丰台,3,2,143.7,中,1,0
丰台,1,1,69.6,低,0,0
海淀,2,1,97.2,中,1,0
朝阳,4,2,197.1,中,1,1
海淀,2,1,63,高,1,0
丰台,2,1,54.1,高,1,0
朝阳,2,1,77,高,1,0
朝阳,3,2,130.3,高,1,0
东城,1,1,76.1,中,1,1
丰台,4,2,197.6,低,1,0
东城,3,0,60.2,中,1,1
海淀,3,1,100.1,中,1,1
石景山,2,1,79,高,1,0
海淀,1,1,40.2,中,1,1
丰台,3,2,153.1,低,1,0
朝阳,4,2,219,中,1,0
西城,1,0,57.7,中,1,1
海淀,3,1,77.4,中,1,0
丰台,1,1,64.5,高,0,0
丰台,2,1,66.1,低,1,0
石景山,2,1,84.3,高,0,0
东城,3,2,164,中,1,0
石景山,2,1,110,中,1,0
朝阳,3,1,101,低,1,0
西城,3,1,84,中,1,1
朝阳,2,1,103.1,高,1,0
石景山,2,1,56,高,0,0
西城,1,1,50.7,中,1,1
海淀,2,1,49.9,中,1,1
西城,2,1,123.1,低,0,1
朝阳,3,2,125.5,中,1,0
朝阳,3,2,196.3,低,1,0
东城,1,1,96.1,中,1,0
西城,2,1,61.1,低,1,0
西城,2,2,152.5,高,1,0
丰台,3,2,147,高,1,1
西城,2,2,88.5,中,1,1
西城,2,1,63.1,高,1,1
石景山,3,2,137,高,1,0
朝阳,2,1,84.3,低,1,0
西城,1,1,51.5,低,1,0
西城,2,1,60.3,中,1,1
东城,2,1,79.5,低,1,0
石景山,2,1,100.8,低,0,0
朝阳,3,1,121.9,中,1,0
丰台,3,2,93.6,高,1,0
石景山,2,1,61.3,高,0,0
海淀,2,1,56.1,中,1,0
东城,1,1,36.2,低,1,1
丰台,2,2,78.5,高,1,0
丰台,2,1,55.4,低,1,0
朝阳,3,2,170.3,中,1,0
西城,2,1,52.5,高,1,0
西城,2,1,81.4,中,1,0
丰台,2,2,87.7,高,1,0
丰台,3,1,70.1,高,1,0
东城,2,1,108.6,高,1,1
朝阳,3,1,82,高,1,0
朝阳,1,1,56,中,1,1
东城,3,1,70.6,低,1,0
东城,3,2,89.3,高,1,1
朝阳,1,1,65.9,低,1,0
丰台,2,1,91.5,高,0,0
海淀,3,1,109,低,1,0
西城,2,1,78.2,高,1,1
朝阳,3,1,122.6,低,1,0
东城,3,2,151.3,中,1,0
西城,2,1,59.1,低,1,0
西城,2,2,113,高,1,0
朝阳,1,2,85.3,中,1,0
石景山,2,1,89.1,中,1,0
海淀,3,1,106.2,低,1,0
海淀,3,1,119.5,低,1,0
东城,1,1,62.7,中,1,1
石景山,2,1,58.5,高,1,0
石景山,1,0,41.4,低,0,0
海淀,2,1,78.2,中,0,1
东城,1,0,91.7,中,1,0
东城,1,1,90.7,中,1,0
朝阳,2,1,85.8,低,0,0
东城,2,1,49.3,高,1,0
丰台,1,1,60.3,高,1,0
丰台,1,0,34.7,中,1,0
石景山,2,2,91.3,高,0,0
朝阳,2,1,55.1,中,1,0
丰台,2,1,101.7,中,0,0
丰台,2,1,76.4,中,0,0
丰台,2,2,88.9,高,1,0
海淀,3,1,72.8,低,1,1
海淀,4,1,118.3,高,1,1
海淀,2,1,115.8,高,1,1
丰台,3,1,84.1,中,1,0
丰台,2,1,96.2,中,1,0
朝阳,3,2,143.3,高,0,0
东城,4,1,225.5,低,1,0
海淀,3,0,76.2,低,1,0
海淀,2,1,65.3,中,1,0
海淀,3,1,216.1,中,1,1
西城,1,1,43.9,高,1,0
东城,3,1,172.6,中,1,1
东城,2,2,98.4,高,1,0
海淀,1,1,42.5,高,1,0
东城,2,1,80.3,高,1,1
海淀,1,1,47.8,高,1,0
东城,1,1,35.4,中,1,0
丰台,2,2,67,高,1,0
东城,2,1,77.5,低,1,0
朝阳,1,1,67.2,中,1,0
朝阳,1,1,75.4,中,0,0
石景山,3,1,75.7,低,0,0
西城,4,1,166.8,高,1,0
朝阳,2,1,64.3,高,1,0
西城,2,1,55.1,中,0,1
海淀,2,1,65.4,中,0,1
东城,2,1,67.8,低,1,1
东城,1,1,50.1,高,1,1
丰台,1,1,59.1,高,1,1
丰台,2,1,68.2,低,1,0
东城,1,1,49.7,高,1,1
海淀,3,0,61.1,低,1,0
海淀,2,1,100.8,中,1,1
朝阳,1,1,69.6,中,1,0
海淀,2,1,49.2,高,0,1
海淀,2,1,87.3,中,1,0
石景山,2,2,83.5,低,1,0
海淀,2,2,113.1,低,1,0
东城,2,1,61.3,高,1,1
石景山,2,2,101.3,中,1,0
东城,3,0,72.3,低,1,0
东城,1,1,41.5,中,1,1
西城,2,2,134.5,中,1,1
东城,2,2,138.5,低,1,1
东城,4,2,208.4,高,1,1
东城,2,1,92.7,中,1,0
朝阳,1,1,68.7,高,1,0
丰台,5,2,195.1,高,1,0
石景山,5,2,276.4,高,0,0
朝阳,2,1,89.2,高,1,0
海淀,2,2,106.2,高,1,0
东城,2,1,172.8,低,1,1
石景山,2,0,53,中,1,0
西城,2,1,81.2,中,1,1
丰台,2,2,113.6,低,1,0
石景山,3,2,142.3,高,1,0
朝阳,2,1,63.7,高,1,1
西城,1,1,54.2,低,1,1
海淀,4,2,190.5,高,1,1
西城,1,1,55.1,中,1,1
东城,2,1,56,中,1,0
西城,2,1,65.1,低,1,1
石景山,2,1,69.6,中,0,0
丰台,3,2,147.5,高,1,0
朝阳,3,1,137.5,中,1,0
西城,2,1,62.5,高,0,1
海淀,3,1,78.1,中,1,1
东城,4,2,159.5,低,1,1
西城,1,0,33.8,高,1,0
石景山,4,1,132.6,中,0,0
丰台,3,2,139.6,高,1,0
西城,2,1,50.2,中,0,1
朝阳,4,2,239.4,低,1,0
海淀,2,1,67.7,中,1,1
东城,2,1,108,高,1,1
西城,3,1,128.9,高,1,0
西城,2,1,72.6,高,1,1
朝阳,2,2,97.1,低,1,0
西城,2,2,114.8,中,1,1
朝阳,4,2,284.9,低,1,1
朝阳,3,1,119.9,高,1,0
东城,2,1,114.8,低,1,1
海淀,1,1,41.9,高,1,1
海淀,3,1,79.4,低,1,1
海淀,3,1,114.4,低,1,0
东城,1,1,45.1,低,1,1
西城,1,0,35.2,低,1,0
东城,2,1,111.6,中,1,1
石景山,2,1,59.8,低,1,0
海淀,3,2,157.1,高,1,1
丰台,2,1,87.8,高,1,0
西城,1,1,53.1,中,1,1
朝阳,3,1,82.5,中,1,1
朝阳,2,1,107.8,低,1,0
东城,3,1,87.6,高,0,0
石景山,1,1,58.6,低,0,0
丰台,1,1,63.4,高,0,0
海淀,3,1,92.3,中,1,1
海淀,2,1,71.7,高,1,1
海淀,2,1,75.5,低,0,0
海淀,2,1,91.1,中,1,1
东城,1,1,61.8,中,1,1
西城,2,1,62.4,高,1,1
海淀,1,0,51.8,中,1,1
朝阳,2,1,75.7,低,0,1
朝阳,2,1,113.4,低,1,0
石景山,3,1,146.7,低,1,0
朝阳,3,1,128.1,高,1,0
石景山,3,1,79.7,高,0,0
丰台,2,1,99.2,中,0,0
石景山,2,1,57.1,高,1,0
丰台,1,1,47.2,低,0,0
西城,3,1,106.4,高,1,1
朝阳,4,2,231.4,高,1,0
石景山,2,2,110.3,低,0,0
西城,3,1,65.3,高,0,1
朝阳,2,2,128,高,1,0
石景山,1,1,65.1,中,1,0
东城,2,1,58.8,高,1,1
石景山,2,1,75.9,低,1,0
西城,1,0,42.6,中,1,0
海淀,2,1,69.9,低,0,0
朝阳,3,2,150.9,中,1,1
朝阳,1,1,67.1,高,1,0
东城,3,1,90.8,中,1,0
石景山,1,1,41.6,高,0,0
朝阳,2,1,83.7,中,1,0
西城,3,1,96.9,高,1,0
丰台,1,0,55.3,中,1,0
西城,3,2,125,低,1,1
海淀,3,2,157.5,低,1,0
丰台,3,1,71.4,低,1,0
丰台,1,1,61,低,1,0
朝阳,2,1,90.3,中,1,1
海淀,2,1,61.2,高,1,1
东城,1,1,65.5,中,1,0
朝阳,1,1,65.6,中,1,1
东城,4,2,253.8,低,1,1
石景山,2,1,74.1,低,0,0
朝阳,3,2,139.3,中,1,0
石景山,3,1,105.3,中,0,0
朝阳,4,1,186.5,高,1,1
海淀,2,1,42.8,高,1,0
西城,2,2,112.5,中,1,0
东城,3,2,145.4,高,1,0
东城,2,1,55.7,低,1,1
东城,2,2,132.5,低,1,1
海淀,2,2,102.5,中,1,0
丰台,1,1,68.7,低,1,0
海淀,3,2,158.9,中,1,1
丰台,2,2,99.2,中,0,0
西城,3,1,84.8,低,1,1
海淀,3,1,80.4,中,1,0
西城,3,1,80.2,中,0,0
东城,2,1,133.4,高,1,0
西城,2,1,59.9,中,1,1
东城,1,0,68.3,高,1,0
海淀,2,1,102.6,中,1,0
东城,2,1,57,中,1,0
东城,3,1,157,低,1,1
西城,2,1,78.3,高,1,1
石景山,2,1,57.7,中,0,0
西城,2,1,95.6,中,1,0
朝阳,2,2,83.9,低,1,0
东城,2,1,110.5,低,1,0
东城,2,1,128.8,中,1,1
海淀,2,1,58.1,中,0,1
西城,2,1,71,低,1,1
东城,2,1,59.9,中,1,0
海淀,3,1,85.4,高,1,0
东城,2,1,62.9,高,1,1
朝阳,3,2,165.7,中,1,0
西城,2,1,53.5,低,1,0
石景山,3,1,67.4,高,1,0
东城,2,2,146.8,中,1,0
海淀,2,1,53.7,中,1,1
东城,1,0,39,中,1,0
西城,2,1,62.8,高,1,0
朝阳,3,1,148,中,1,0
西城,3,1,71.9,中,1,0
朝阳,2,1,83.5,高,1,0
丰台,3,2,144.4,中,1,0
东城,4,2,255.2,高,1,0
朝阳,3,2,151.1,低,0,0
石景山,2,1,73.8,高,1,0
东城,2,1,76.7,中,1,0
东城,3,0,83.5,高,1,0
丰台,1,1,38.5,高,1,0
西城,3,2,149.6,中,1,0
西城,2,1,47.7,低,1,1
海淀,2,1,137.2,低,0,0
朝阳,2,1,57.3,高,1,0
朝阳,2,1,81.8,低,0,0
朝阳,4,2,263,中,1,0
海淀,1,1,47.1,高,1,1
朝阳,2,1,87.5,中,0,0
东城,3,2,123.3,中,1,0
东城,1,1,37,高,1,1
丰台,3,2,104.2,高,1,0
海淀,2,1,48.6,高,1,0
丰台,2,2,86.6,低,1,0
